source,mid,mis,tweet_id,label,auto
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1250814876492185600,favor,False
fact_check_url,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1312054948876693504,against,True
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1252058059368796160,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1254581365837893632,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1244612397165404160,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1248103772913455104,favor,False
fact_check_url,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1253999460344049664,against,True
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1243481963740254208,against,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1244450240674971648,against,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1244766015633973248,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1245060692039909382,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1253966545115664384,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1244622305445240833,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1244948932729417730,favor,False
fact_check_url,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1253032704234467328,against,True
fact_check_url,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1257913213657796609,against,True
fact_check_url,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1312878353851056137,against,True
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1250203262038544384,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1244962236260667392,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1269931439958753281,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1240138741932589056,neither,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1246185333193977856,neither,False
fact_check_url,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1342905179126046722,against,True
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1245218372247322625,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1244860038944043009,favor,False
keywords,13,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1257433274936418305,favor,False
title,17,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,1255971979481493505,favor,False
keywords,17,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,1328725157175672833,favor,False
keywords,17,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,1264274816955269121,favor,False
news_url,17,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,1251291126591557633,favor,False
news_url,17,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,1256942516659683328,favor,False
